code,name,account_type,note
1001,Standard Bank – Current Account 042746051,asset_cash,Bank account
4001,Electronic Tithes & Offerings – EFT,income,
4002,Cash Collections – Tithes & Offerings,income,
4003,Online Giving Platform,income,
4004,Conference & Event Income,income,
4005,Book & Merchandise Sales,income,
4006,Refunds Received,income,
4007,Bank Interest Income,income,
4008,Loans Received (Temporary),liability_current,Short-term loans – non-income
6001,Staff Salaries & Remuneration,expense,
6002,Ministry Distributions (CJI-FNB),expense,
6003,Medical Aid (NHP),expense,
6004,Insurance (Sanlam),expense,
6005,Housing Allowance (Homestar),expense,
6006,Internet & Telecommunications (Paratus / MTC),expense,
6007,City of Windhoek Utilities,expense,
6008,Other Fixed Debit Orders (MLPAYMENT / AFPAYMENT / OMLACN),expense,
6009,Renovation & Building Works,expense,
6010,Facility Rental (Scouts / Venues),expense,
6011,Education & School Fees,expense,
6012,Technology & Software Subscriptions,expense,
6013,Travel & Accommodation,expense,
6014,Contractors & Professional Fees,expense,
6015,Maintenance & Repairs,expense,
6016,Equipment & Asset Purchases,expense,
6017,Events & Catering,expense,
6018,Meals & Refreshments,expense,
6019,Fuel & Vehicle Operating Costs,expense,
6020,Vehicle Maintenance & Servicing,expense,
6021,Groceries & Household Supplies,expense,
6022,Medical & Pharmacy,expense,
6023,Personal / Clothing,expense,
6024,Community Aid & Benevolence,expense,
6025,Bank Charges & Fees,expense,
6026,Other EFT Payments,expense,
